"11/07/2006",#TRUE#,"1024 x 768",249
301,429,#FALSE#,#FALSE#,#FALSE#
301,429,#FALSE#,#FALSE#,#FALSE#
301,429,#FALSE#,#FALSE#,#FALSE#
301,429,#FALSE#,#FALSE#,#FALSE#
301,429,#FALSE#,#FALSE#,#FALSE#
301,429,#FALSE#,#FALSE#,#FALSE#
301,429,#FALSE#,#FALSE#,#FALSE#
309,425,#FALSE#,#FALSE#,#FALSE#
336,410,#FALSE#,#FALSE#,#FALSE#
355,399,#FALSE#,#FALSE#,#FALSE#
365,386,#FALSE#,#FALSE#,#FALSE#
380,375,#FALSE#,#FALSE#,#FALSE#
400,363,#FALSE#,#FALSE#,#FALSE#
413,351,#FALSE#,#FALSE#,#FALSE#
415,346,#FALSE#,#FALSE#,#FALSE#
417,340,#FALSE#,#FALSE#,#FALSE#
418,336,#FALSE#,#FALSE#,#FALSE#
419,332,#FALSE#,#FALSE#,#FALSE#
419,325,#FALSE#,#FALSE#,#FALSE#
418,312,#FALSE#,#FALSE#,#FALSE#
414,301,#FALSE#,#FALSE#,#FALSE#
411,297,#FALSE#,#FALSE#,#FALSE#
410,295,#FALSE#,#FALSE#,#FALSE#
410,295,#FALSE#,#FALSE#,#FALSE#
410,294,#FALSE#,#FALSE#,#FALSE#
410,294,#FALSE#,#FALSE#,#FALSE#
410,294,#FALSE#,#FALSE#,#FALSE#
410,294,#FALSE#,#FALSE#,#FALSE#
519,260,#FALSE#,#FALSE#,#FALSE#
528,260,#FALSE#,#FALSE#,#FALSE#
528,260,#FALSE#,#FALSE#,#FALSE#
530,260,#FALSE#,#FALSE#,#FALSE#
543,268,#FALSE#,#FALSE#,#FALSE#
561,286,#FALSE#,#FALSE#,#FALSE#
616,318,#FALSE#,#FALSE#,#FALSE#
640,336,#FALSE#,#FALSE#,#FALSE#
646,356,#FALSE#,#FALSE#,#FALSE#
641,361,#FALSE#,#FALSE#,#FALSE#
623,368,#FALSE#,#FALSE#,#FALSE#
555,373,#FALSE#,#FALSE#,#FALSE#
511,360,#FALSE#,#FALSE#,#FALSE#
496,346,#FALSE#,#FALSE#,#FALSE#
503,311,#FALSE#,#FALSE#,#FALSE#
533,258,#FALSE#,#FALSE#,#FALSE#
596,196,#FALSE#,#FALSE#,#FALSE#
726,126,#FALSE#,#FALSE#,#FALSE#
789,116,#FALSE#,#FALSE#,#FALSE#
848,120,#FALSE#,#FALSE#,#FALSE#
913,143,#FALSE#,#FALSE#,#FALSE#
